[17-Oct-2014 23:11:45 America/New_York] PHP Parse error:  syntax error, unexpected 'f4b7f82db3e9bd1' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[25-Oct-2014 15:35:21 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[25-Oct-2014 15:35:21 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[25-Oct-2014 15:35:21 America/New_York] PHP   6. drupal_render() /var/www/drupal_7/includes/common.inc:5760
[25-Oct-2014 15:35:21 America/New_York] PHP   7. theme() /var/www/drupal_7/includes/common.inc:5898
[25-Oct-2014 15:35:21 America/New_York] PHP   8. template_process_page() /var/www/drupal_7/includes/theme.inc:1122
[25-Oct-2014 15:35:21 America/New_York] PHP   9. drupal_get_breadcrumb() /var/www/drupal_7/includes/theme.inc:2602
[25-Oct-2014 15:35:21 America/New_York] PHP  10. menu_get_active_breadcrumb() /var/www/drupal_7/includes/common.inc:259
[25-Oct-2014 15:35:21 America/New_York] PHP  11. menu_get_active_trail() /var/www/drupal_7/includes/menu.inc:2572
[25-Oct-2014 15:35:21 America/New_York] PHP  12. menu_set_active_trail() /var/www/drupal_7/includes/menu.inc:2554
[25-Oct-2014 15:35:21 America/New_York] PHP  13. menu_link_get_preferred() /var/www/drupal_7/includes/menu.inc:2385
[25-Oct-2014 15:35:21 America/New_York] PHP  14. menu_get_item() /var/www/drupal_7/includes/menu.inc:2476
[25-Oct-2014 15:35:21 America/New_York] PHP  15. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[25-Oct-2014 15:35:21 America/New_York] PHP  16. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
